"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"SearchIndexer","0","714","2203484143616","30830592","12955648","19016","C:\WINDOWS\system32\SearchIndexer.exe","Microsoft Corporation","4.859375","7.0.26100.7019 (WinBuild.160101.0800)","7.0.26100.7019","Microsoft Windows Search Indexer","Windows? Search","Process","8",,"False",,"3360","Microsoft.Win32.SafeHandles.SafeProcessHandle","714","5672",".","0","","System.Diagnostics.ProcessModule (SearchIndexer.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19016","19016","12955648","12955648","212144","212144","13520896","13520896","34185216","34185216","167624704","2203485847552","True","Normal","12955648","12955648","00:00:02.9843750","SearchIndexer","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:35 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.8593750","00:00:01.8750000","165920768","2203484143616","False",,,,"30830592","30830592",,
"msedgewebview2","1","340","2324213739520","41275392","13303808","18264","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","4.109375","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3972","Microsoft.Win32.SafeHandles.SafeProcessHandle","340","6260",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18264","18264","13303808","13303808","870472","870472","15552512","15552512","44945408","44945408","665800704","2324243107840","True","Normal","13303808","13303808","00:00:02.7656250","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.1093750","00:00:01.3437500","636432384","2324213739520","False",,,,"41275392","41275392",,
"svchost","0","438","2203442774016","17629184","14991360","13544","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","3.9375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3396","Microsoft.Win32.SafeHandles.SafeProcessHandle","438","1728",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13544","13544","14991360","14991360","90104","90104","20221952","20221952","26312704","26312704","134369280","2203452592128","True","Normal","14991360","14991360","00:00:02.2343750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.9375000","00:00:01.7031250","124551168","2203442774016","False",,,,"17629184","17629184",,
"powershell","1","817","2204021915648","91549696","67203072","44448","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation","4.65625","10.0.26100.5074 (WinBuild.160101.0800)","10.0.26100.5074","Windows PowerShell","Microsoft? Windows? Operating System","Process","8",,"False",,"3832","Microsoft.Win32.SafeHandles.SafeProcessHandle","817","860",".","393278","Administrator: Windows PowerShell","System.Diagnostics.ProcessModule (powershell.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44448","44448","67203072","67203072","474592","474592","67612672","67612672","91815936","91815936","709574656","2204027797504","True","Normal","67203072","67203072","00:00:03.2500000","powershell","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 10:47:35 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.6562500","00:00:01.4062500","703692800","2204021915648","False",,,,"91549696","91549696",,
"SystemSettings","1","1415","2210555531264","1867776","106016768","66264","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","Microsoft Corporation","3.6875","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Settings","Microsoft? Windows? Operating System","Process","8",,"False",,"3432","Microsoft.Win32.SafeHandles.SafeProcessHandle","1415","7600",".","525186","Settings","System.Diagnostics.ProcessModule (SystemSettings.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","66264","66264","106016768","106016768","1470472","1470472","190119936","190119936","253689856","253689856","-1224421376","2223568637952","True","Normal","106016768","106016768","00:00:02.0625000","SystemSettings","3","False","1","System.Diagnostics.ProcessStartInfo","12/10/2025 7:52:31 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.6875000","00:00:01.6250000","-1352626176","2210555531264","False",,,,"1867776","1867776",,
"svchost","0","297","2203444318208","20910080","3543040","13536","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","3.296875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3444","Microsoft.Win32.SafeHandles.SafeProcessHandle","297","3448",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13536","13536","3543040","3543040","143880","143880","4112384","4112384","21856256","21856256","132538368","2203450761216","True","Normal","3543040","3543040","00:00:01.9843750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:22 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.2968750","00:00:01.3125000","126095360","2203444318208","False",,,,"20910080","20910080",,
"msedge","1","403","3779837865984","110264320","56193024","23256","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","3","143.0.3650.75","143.0.3650.75","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"3460","Microsoft.Win32.SafeHandles.SafeProcessHandle","403","9072",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23256","23256","56193024","56193024","911720","911720","71880704","71880704","130142208","130142208","549855232","3780121075712","True","Idle","56193024","56193024","00:00:02","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 10:32:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03","00:00:01","266645504","3779837865984","False",,,,"110264320","110264320",,
"Registry","0","0","103579648","66478080","5861376","13872",,,"2.734375",,,,,"Process","8",,,,,,"0","100",".","0","",,,,,"13872","13872","5861376","5861376","206528","206528","23613440","23613440","88788992","88788992","108740608","108740608",,,"5861376","5861376","00:00:02.7343750","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7343750","00:00:00","103579648","103579648","False",,,,"66478080","66478080",,
"svchost","0","904","2203428593664","19615744","4984832","19368","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","2.734375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3480","Microsoft.Win32.SafeHandles.SafeProcessHandle","904","1468",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19368","19368","4984832","4984832","160160","160160","6754304","6754304","22257664","22257664","126631936","2203444854784","True","Normal","4984832","4984832","00:00:01.3437500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7343750","00:00:01.3906250","110370816","2203428593664","False",,,,"19615744","19615744",,
"svchost","0","382","2203476246528","17342464","6656000","15200","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","2.6875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3488","Microsoft.Win32.SafeHandles.SafeProcessHandle","382","2952",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15200","15200","6656000","6656000","116280","116280","33538048","33538048","46223360","46223360","162787328","2203481010176","True","Normal","6656000","6656000","00:00:01.8750000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6875000","00:00:00.8125000","158023680","2203476246528","False",,,,"17342464","17342464",,
"MpDefenderCoreService","0","519","2203454742528","25460736","9314304","18272",,,"2.625",,,,,"Process","8",,,,,,"519","4488",".","0","",,,,,"18272","18272","9314304","9314304","200784","200784","10084352","10084352","30097408","30097408","143310848","2203461533696",,,"9314304","9314304","00:00:01.5625000","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 6:02:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6250000","00:00:01.0625000","136519680","2203454742528","False",,,,"25460736","25460736",,
"svchost","0","353","2203417989120","16371712","6017024","16504","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","2.5625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3504","Microsoft.Win32.SafeHandles.SafeProcessHandle","353","1312",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16504","16504","6017024","6017024","254416","254416","6627328","6627328","17809408","17809408","108544000","2203426766848","True","Normal","6017024","6017024","00:00:01.2968750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.5625000","00:00:01.2656250","99766272","2203417989120","False",,,,"16371712","16371712",,
"svchost","0","458","2203446423552","19623936","11001856","32464","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","2.4375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"2624","Microsoft.Win32.SafeHandles.SafeProcessHandle","458","2676",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32464","32464","11001856","11001856","127136","127136","14143488","14143488","29188096","29188096","133881856","2203452104704","True","Normal","11001856","11001856","00:00:01.8125000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.4375000","00:00:00.6250000","128200704","2203446423552","False",,,,"19623936","19623936",,
"svchost","0","292","2203440660480","22663168","3592192","12656","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","2.421875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3004","Microsoft.Win32.SafeHandles.SafeProcessHandle","292","1512",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12656","12656","3592192","3592192","147584","147584","5455872","5455872","25063424","25063424","130433024","2203448655872","True","Normal","3592192","3592192","00:00:01.2343750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.4218750","00:00:01.1875000","122437632","2203440660480","False",,,,"22663168","22663168",,
"svchost","0","460","2203450232832","26828800","4755456","19024","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","2.03125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3300","Microsoft.Win32.SafeHandles.SafeProcessHandle","460","6896",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19024","19024","4755456","4755456","182520","182520","5558272","5558272","28778496","28778496","137330688","2203455553536","True","Normal","4755456","4755456","00:00:01.3281250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:56:40 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0312500","00:00:00.7031250","132009984","2203450232832","False",,,,"26828800","26828800",,
"svchost","0","355","2203540893696","24793088","5885952","30312","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.90625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3384","Microsoft.Win32.SafeHandles.SafeProcessHandle","355","1028",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30312","30312","5885952","5885952","174360","174360","24092672","24092672","51515392","51515392","450420736","2203768643584","True","Normal","5885952","5885952","00:00:01","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.9062500","00:00:00.9062500","222670848","2203540893696","False",,,,"24793088","24793088",,
"ApplicationFrameHost","1","415","2203594235904","43880448","11182080","24080","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.828125","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4116","Microsoft.Win32.SafeHandles.SafeProcessHandle","415","2492",".","656222","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24080","24080","11182080","11182080","413688","413688","13099008","13099008","52322304","52322304","291237888","2203609460736","True","Normal","11182080","11182080","00:00:01","ApplicationFrameHost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 6:11:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8281250","00:00:00.8281250","276013056","2203594235904","False",,,,"43880448","43880448",,
"svchost","0","261","2203419475968","14569472","4374528","12448","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.75","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"2676","Microsoft.Win32.SafeHandles.SafeProcessHandle","261","7436",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12448","12448","4374528","4374528","110032","110032","4698112","4698112","16064512","16064512","113995776","2203432218624","True","Normal","4374528","4374528","00:00:01","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7500000","00:00:00.7500000","101253120","2203419475968","False",,,,"14569472","14569472",,
"msedgewebview2","1","384","2307085246464","45752320","16039936","20872","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","1.703125","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","10",,"False",,"3012","Microsoft.Win32.SafeHandles.SafeProcessHandle","384","6200",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20872","20872","16039936","16039936","880432","880432","21975040","21975040","62615552","62615552","705900544","2307103338496","True","AboveNormal","16039936","16039936","00:00:01.1875000","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7031250","00:00:00.5156250","687808512","2307085246464","False",,,,"45752320","45752320",,
"Widgets","1","836","2237958062080","61562880","10518528","33656","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","Microsoft Corporation","1.640625","525.31002.10.0","525.31002.10.0","","Microsoft? Windows? Operating System","Process","8",,"False",,"3184","Microsoft.Win32.SafeHandles.SafeProcessHandle","836","5840",".","0","","System.Diagnostics.ProcessModule (Widgets.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33656","33656","10518528","10518528","445768","445768","14974976","14974976","69079040","69079040","309960704","2237987921920","True","Normal","10518528","10518528","00:00:01.0625000","Widgets","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:37 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.6406250","00:00:00.5781250","280100864","2237958062080","False",,,,"61562880","61562880",,
"svchost","0","375","2203495886848","27738112","8982528","17864","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3724","Microsoft.Win32.SafeHandles.SafeProcessHandle","375","5360",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17864","17864","8982528","8982528","196920","196920","21553152","21553152","45297664","45297664","191406080","2203509628928","True","Normal","8982528","8982528","00:00:00.8593750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:34 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.6250000","00:00:00.7656250","177664000","2203495886848","False",,,,"27738112","27738112",,
"csrss","0","516","2203428712448","7155712","1978368","21008",,,"1.515625",,,,,"Process","13",,,,,,"516","584",".","0","",,,,,"21008","21008","1978368","1978368","271544","271544","2383872","2383872","7880704","7880704","111996928","2203430219776",,,"1978368","1978368","00:00:01.1875000","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:14 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5156250","00:00:00.3281250","110489600","2203428712448","False",,,,"7155712","7155712",,
"svchost","0","308","2203413831680","13512704","2781184","13112","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.5","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3788","Microsoft.Win32.SafeHandles.SafeProcessHandle","308","544",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13112","13112","2781184","2781184","133944","133944","2928640","2928640","14417920","14417920","98824192","2203417047040","True","Normal","2781184","2781184","00:00:01.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:15 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5000000","00:00:00.4843750","95608832","2203413831680","False",,,,"13512704","13512704",,
"ShellExperienceHost","1","726","2203736887296","67137536","15732736","32480","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft Corporation","1.5","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Windows Shell Experience Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3040","Microsoft.Win32.SafeHandles.SafeProcessHandle","726","1852",".","0","","System.Diagnostics.ProcessModule (ShellExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32480","32480","15732736","15732736","631760","631760","18894848","18894848","82079744","82079744","428056576","2203746279424","True","Normal","15732736","15732736","00:00:00.8125000","ShellExperienceHost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 6:12:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5000000","00:00:00.6875000","418664448","2203736887296","False",,,,"67137536","67137536",,
"SecurityHealthService","0","504","2203498594304","23666688","7380992","20272",,,"1.46875",,,,,"Process","8",,,,,,"504","7272",".","0","",,,,,"20272","20272","7380992","7380992","214640","214640","15724544","15724544","38588416","38588416","186847232","2203505070080",,,"7380992","7380992","00:00:00.7812500","SecurityHealthService",,"True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:50 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.4687500","00:00:00.6875000","180371456","2203498594304","False",,,,"23666688","23666688",,
"msedgewebview2","1","337","2307022536704","39145472","12541952","20792","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.66\msedgewebview2.exe","Microsoft Corporation","1.328125","143.0.3650.66","143.0.3650.66","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3740","Microsoft.Win32.SafeHandles.SafeProcessHandle","337","7412",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20792","20792","12541952","12541952","870064","870064","16830464","16830464","45744128","45744128","675438592","2307072876544","True","Normal","12541952","12541952","00:00:00.8906250","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:56:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3281250","00:00:00.4375000","625098752","2307022536704","False",,,,"39145472","39145472",,
"svchost","1","549","2203529416704","41115648","8175616","19912","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.28125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3064","Microsoft.Win32.SafeHandles.SafeProcessHandle","549","908",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19912","19912","8175616","8175616","318280","318280","9232384","9232384","44449792","44449792","219029504","2203537252352","True","Normal","8175616","8175616","00:00:00.6718750","svchost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:28 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2812500","00:00:00.6093750","211193856","2203529416704","False",,,,"41115648","41115648",,
"svchost","0","289","2203414462464","11022336","3063808","16960","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.171875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3332","Microsoft.Win32.SafeHandles.SafeProcessHandle","289","1980",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16960","16960","3063808","3063808","99016","99016","3276800","3276800","11935744","11935744","97296384","2203415519232","True","Normal","3063808","3063808","00:00:00.6250000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1718750","00:00:00.5468750","96239616","2203414462464","False",,,,"11022336","11022336",,
"backgroundTaskHost","1","474","2216644927488","52240384","22155264","20024","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","1.15625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2772","Microsoft.Win32.SafeHandles.SafeProcessHandle","474","5004",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20024","20024","22155264","22155264","587192","587192","22536192","22536192","60903424","60903424","449236992","2216652361728","True","Normal","22155264","22155264","00:00:00.7187500","backgroundTaskHost","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 9:08:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1562500","00:00:00.4375000","441802752","2216644927488","False",,,,"52240384","52240384",,
"svchost","0","226","2203435233280","17649664","4972544","12640","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","1.109375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3476","Microsoft.Win32.SafeHandles.SafeProcessHandle","226","4264",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12640","12640","4972544","4972544","143464","143464","9306112","9306112","29102080","29102080","133865472","2203452088320","True","Normal","4972544","4972544","00:00:00.6875000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:54:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1093750","00:00:00.4218750","117010432","2203435233280","False",,,,"17649664","17649664",,
"FileCoAuth","1","458","2203510009856","41922560","14225408","22600","C:\Users\herli\AppData\Local\Microsoft\OneDrive\25.216.1104.0002\FileCoAuth.exe","Microsoft Corporation","1.0625","25.216.1104.0002","25.216.1104.0002","Microsoft OneDriveFile Co-Authoring Executable","Microsoft OneDrive","Process","8",,"False",,"3312","Microsoft.Win32.SafeHandles.SafeProcessHandle","458","8608",".","0","","System.Diagnostics.ProcessModule (FileCoAuth.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22600","22600","14225408","14225408","294824","294824","14344192","14344192","46239744","46239744","199991296","2203518214144","True","Normal","14225408","14225408","00:00:00.6250000","FileCoAuth","3","True","1","System.Diagnostics.ProcessStartInfo","12/10/2025 6:08:47 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0625000","00:00:00.4375000","191787008","2203510009856","False",,,,"41922560","41922560",,
"AggregatorHost","0","152","2203388588032","12247040","3043328","9936","C:\WINDOWS\System32\AggregatorHost.exe","Microsoft Corporation","1.046875","10.0.26100.5074 (WinBuild.160101.0800)","10.0.26100.5074","Microsoft (R) Aggregator Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3228","Microsoft.Win32.SafeHandles.SafeProcessHandle","152","3752",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9936","9936","3043328","3043328","75320","75320","3133440","3133440","15052800","15052800","73322496","2203391545344","True","Normal","3043328","3043328","00:00:00.4375000","AggregatorHost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:23 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0468750","00:00:00.6093750","70365184","2203388588032","False",,,,"12247040","12247040",,
"svchost","0","176","2203408125952","10014720","1822720","9848","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.03125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3824","Microsoft.Win32.SafeHandles.SafeProcessHandle","176","2364",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9848","9848","1822720","1822720","82832","82832","2379776","2379776","10821632","10821632","94269440","2203412492288","True","Normal","1822720","1822720","00:00:00.5000000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:51:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0312500","00:00:00.5312500","89903104","2203408125952","False",,,,"10014720","10014720",,
"svchost","0","260","2203427282944","15634432","3481600","13712","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3392","Microsoft.Win32.SafeHandles.SafeProcessHandle","260","3912",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13712","13712","3481600","3481600","117696","117696","7397376","7397376","21798912","21798912","114294784","2203432517632","True","Normal","3481600","3481600","00:00:00.6250000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","12/10/2025 5:54:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01","00:00:00.3750000","109060096","2203427282944","False",,,,"15634432","15634432",,
